ev_id,origin_time_utc,evla,evlo,evdep_km,mag,n_picks
618745818,2020-08-23T17:38:03.56,-9.7247,108.2106,20.3,5.5,18
618745820,2020-08-23T16:46:48.57,-4.7629,152.5712,59.9,5.5,19
618746774,2020-08-24T17:14:56.32,-15.3653,-174.1748,13.2,,10
618755874,2020-07-25T22:35:48.66,-20.5208,-178.4248,561.3,,26
618757184,2020-07-05T18:50:01.81,-14.9301,167.3527,125.6,5.9,23
618757207,2020-07-15T03:51:41.56,-26.6300,178.3580,623.3,5.7,18
618757237,2020-08-25T19:08:54.15,-5.4482,151.9121,31.2,6.2,30
618757248,2020-08-25T23:27:58.63,-6.6554,104.6244,41.7,,20
618758158,2020-08-26T08:39:56.82,-15.8777,-179.4558,22.0,5.8,11
618929849,2020-08-27T12:07:15.26,23.1510,93.2623,11.5,5.5,16
618933666,2020-08-17T12:54:47.40,-9.4610,152.6050,22.0,,10
618933763,2020-08-25T19:04:44.06,-5.5670,151.8100,35.0,,10
618933786,2020-08-28T15:47:06.39,-36.9023,177.0838,7.7,,12
618933992,2020-08-29T05:35:43.79,-4.4026,101.0187,29.0,,13
618936037,2020-08-30T17:44:07.42,6.5717,125.3716,27.1,,11
618959042,2020-09-02T23:25:36.97,-5.3630,140.4999,10.0,,15
618962296,2020-09-03T16:02:54.73,-4.5432,102.5635,57.0,5.5,13
618964217,2020-09-04T05:00:29.01,-6.3739,129.1667,230.1,,17
618985486,2020-09-06T00:21:11.48,1.6809,126.5507,40.1,5.7,31
618985495,2020-09-06T02:59:15.52,-17.1995,167.7298,10.0,6.0,25
618985528,2020-09-06T15:23:43.96,6.3076,125.7285,123.0,5.9,39
618988083,2020-09-08T00:45:22.09,-4.9014,129.7244,189.6,6.0,36
618990069,2020-09-09T03:41:17.37,4.1398,126.6494,33.3,5.5,19
618990075,2020-09-09T07:18:41.93,4.1354,126.5494,33.0,5.6,26
618990354,2020-09-09T10:57:10.82,-6.1926,154.4965,48.0,,17
618994576,2020-09-10T08:26:59.61,-8.7442,110.8395,99.5,,20
619024254,2020-09-13T18:28:53.08,4.3138,96.7140,131.1,,12
619024266,2020-09-13T10:28:18.24,-6.0526,146.9420,46.4,,20
619028372,2020-09-15T04:12:16.61,-15.0879,179.9658,12.8,5.9,27
619040514,2020-09-15T23:34:03.58,27.7705,85.8654,11.8,,18
619061765,2020-09-17T03:27:34.63,-6.2273,154.8397,65.8,,13
619061787,2020-09-17T10:32:26.58,-6.8300,129.3757,201.5,5.5,36
619093604,2020-09-18T16:28:18.30,35.0102,25.2795,49.4,5.7,23
619093605,2020-09-18T17:47:48.76,37.9490,73.7373,32.5,,13
